Unnamed: 0,店舗名,住所,緯度,経度,チェック
137,TSUTAYA BOOKSTORE 常総インターチェンジ店,茨城県 常総市 むすびまち3 TSUTAYA BOOKSTORE 常総インターチェンジ,36.023487,139.993683,0
138,龍ケ崎店,茨城県 龍ケ崎市 中根台4-1-13,35.931358,140.173737,0
139,アトレ取手店,茨城県 取手市 中央町2-5 アトレ取手 3F,35.89484,140.06218,0
140,イオンタウン守谷店,茨城県 守谷市 百合ヶ丘3-249-1 イオンタウン守谷,35.945404,139.992081,0
141,守谷サービスエリア（上り線）店,茨城県 守谷市 大柏166,35.939388,139.969254,0
142,守谷サービスエリア(下り線)店,茨城県 守谷市 野木崎97-3 Pasar守谷(下り線),35.938236,139.966522,0
143,西友楽市守谷店,茨城県 守谷市 けやき台4-1-5 西友楽市 守谷,35.936146,139.9944,0
144,イオンモール下妻店,茨城県 下妻市 堀篭972-1 イオンモール下妻,36.190086,139.98941,0
145,トナリエキュート　つくば店,茨城県 つくば市 吾妻1-6-1 トナリエキュート 2F,36.08205256,140.1113985,0
146,つくば駅店,茨城県 つくば市 吾妻2-128,36.084427,140.111145,0
147,つくば店,茨城県 つくば市 稲荷前12-2,36.048397,140.12854,0
148,イオンモールつくば店,茨城県 つくば市 稲岡66-1,36.034595,140.132721,0
149,つくば学園の森店,茨城県 つくば市 研究学園3-23-1,36.089573,140.073044,0
150,イーアスつくば店,茨城県 つくば市 研究学園5-19 イーアスつくば,36.088585,140.084579,0
151,つくば研究学園店,茨城県 つくば市 学園南3-20-6,36.072777,140.085464,0
152,筑波大学附属病院店,茨城県 つくば市 天久保2-1-18 筑波大学付属病院 桐の葉モール,36.093224,140.10202,0
153,筑波大学中央図書館店,茨城県 つくば市 天王台1-1-1 筑波大学中央図書館,36.108723,140.100632,0
154,道の駅グランテラス筑西店,茨城県 筑西市 川澄1850 グランテラス筑西,36.327576,139.995834,0
155,友部サービスエリア（上り線）店,茨城県 笠間市 長兎路梶山久保1059-6 友部サービスエリア（上り線）,36.30948722,140.3394672,0
156,友部サービスエリア（下り線）店,茨城県 笠間市 長兎路梶山久保1051-3 友部サービスエリア（下り線）,36.30941931,140.3394533,0
157,水戸エクセル店,茨城県 水戸市 宮町1-1-1 エクセル,36.369884,140.481567,0
158,水戸エクセル5階店,茨城県 水戸市 宮町1-1-1 水戸エクセル5階,36.369884,140.481567,0
159,水戸駅南中央通り店,茨城県 水戸市 元吉田町303-1,36.356102,140.473999,0
160,水戸　県庁前店,茨城県 水戸市 笠原町978-40,36.340679,140.444077,0
161,水戸赤塚店,茨城県 水戸市 姫子2-751-16,36.37907,140.425064,0
162,ニューポートひたちなか店,茨城県 ひたちなか市 新光町34-1,36.406807,140.586945,0
163,ひたちなか店,茨城県 ひたちなか市 馬渡砂久保542-3,36.396317,140.571289,0
164,ひたちなか6号店,茨城県 ひたちなか市 市毛941-4,36.3993535,140.5065854,0
165,ひたちなか西光地店,茨城県 ひたちなか市 西光地2-17-2,36.416935,140.531631,0
166,鹿島店,茨城県 鹿嶋市 鉢形980,35.958584,140.653519,0
167,神栖神之池緑地店,茨城県 神栖市 奥野谷4463-1 神之池緑地,35.886845,140.672073,0
168,神栖店,茨城県 神栖市 平泉281-22,35.916241,140.635422,0
169,石岡店,茨城県 石岡市 石岡2925-1,36.192921,140.293579,0
170,常陸多賀店,茨城県 日立市 桜川町1-2-15,36.557419,140.628983,0
171,日立シーマークスクエア店,茨城県 日立市 東滑川町5-1-6 シーマークスクエア,36.617416,140.67749,0
172,日立総合病院店,茨城県 日立市 城南町2-1-1,36.58991627,140.6451923,0
173,イオンモール水戸内原店,茨城県 水戸市 内原2-1,36.374561,140.358841,0
174,宇都宮上戸祭店,栃木県 宇都宮市 上戸祭町欠ノ上366-7,36.595226,139.864883,0
175,宇都宮鶴田店,栃木県 宇都宮市 鶴田2-12-12,36.562504,139.855316,0
176,宇都宮インターパークステージ店,栃木県 宇都宮市 インターパーク4-2-3 インターパークステージ,36.49514,139.911209,0
177,ＦＫＤ宇都宮インターパーク店,栃木県 宇都宮市 インターパーク6-1-1 FKDショッピングモール宇都宮インターパーク,36.490471,139.906799,0
178,宇都宮西川田店,栃木県 宇都宮市 西川田本町3-4-3,36.515194,139.845215,0
179,カインズ壬生店,栃木県 下都賀郡 壬生町安塚3376-21,36.461124,139.840134,0
180,獨協医科大学病院店,栃木県 下都賀郡 壬生町北小林880,36.472305,139.825363,0
181,宇都宮城東店,栃木県 宇都宮市 城東2-24-11,36.549278,139.904877,0
182,宇都宮福田屋店,栃木県 宇都宮市 今泉町237 福田屋ショッピングプラザ宇都宮店,36.573658,139.90004,0
183,宇都宮パセオ店,栃木県 宇都宮市 川向町1-23 パセオ　1F,36.560127,139.897675,0
184,済生会宇都宮病院店,栃木県 宇都宮市 竹林町911-1 恩賜財団　済生会宇都宮病院,36.579189,139.89743,0
185,宇都宮ゆいの杜店,栃木県 宇都宮市 ゆいの杜4-12-17,36.568237,139.991669,0
186,真岡店,栃木県 真岡市 下高間木1-14-4,36.43243,139.986496,0
187,宇都宮イトーヨーカドー店,栃木県 宇都宮市 陽東6-2-1 イトーヨーカドー宇都宮店,36.552746,139.93161,0
188,鹿沼店,栃木県 鹿沼市 西茂呂3-12-3,36.550896,139.766678,0
189,おやまゆうえんハーヴェストウォーク店,栃木県 小山市 喜沢1475 おやまゆうえんハーヴェストウォーク,36.334133,139.806915,0
190,小山宮本店,栃木県 小山市 宮本町2-8-21,36.311089,139.799255,0
191,ヴァル小山店,栃木県 小山市 城山町3-3-22 VAL小山,36.313061,139.806091,0
192,小山店,栃木県 小山市 東城南1-27-１,36.29665,139.808228,0
193,大田原美原店,栃木県 大田原市 美原2-3232-7,36.86703619,140.0024723,0
194,足利福居町店,栃木県 足利市 福居町254-6,36.311264,139.446716,0
195,TSUTAYA 佐野店,栃木県 佐野市 田島町51,36.292976,139.56279,0
196,佐野サービスエリア（下り線）店,栃木県 佐野市 黒袴町東山1021 佐野サービスエリア（下り線）,36.31332,139.618362,0
197,イオンモール佐野新都市店,栃木県 佐野市 高萩町1324-1 イオンモール佐野新都市,36.298794,139.606155,0
198,佐野プレミアム・アウトレット店,栃木県 佐野市 越名町2058番地 佐野プレミアム・アウトレット370区,36.292492,139.604828,0
199,佐野プレミアム・アウトレット プレイグラウンド店,栃木県 佐野市 越名町2058 佐野プレミアム・アウトレット7020区,36.292492,139.604828,0
200,栃木倭町店,栃木県 栃木市 倭町7-1 TS-TOWN Tochigi,36.378284,139.733139,0
201,道の駅しもつけ店,栃木県 下野市 薬師寺3720-1 道の駅しもつけ,36.399223,139.871994,0
202,自治医科大学附属病院店,栃木県 下野市 薬師寺3311-1 自治医科大学附属病院,36.4034,139.858521,0
203,西那須野店,栃木県 那須塩原市 五軒町5-19,36.891685,139.979294,0
204,那須ガーデンアウトレット店,栃木県 那須塩原市 塩野崎184-7 那須ガーデンアウトレット,36.965893,139.991364,0
205,高崎貝沢店,群馬県 高崎市 貝沢町1327-3,36.33934506,139.0274268,0
206,高崎大八木店,群馬県 高崎市 大八木町2113-3,36.35989,139.001556,0
207,イーサイト高崎店,群馬県 高崎市 八島町222 E'site 高崎,36.321606,139.013107,0
208,高崎オーパ店,群馬県 高崎市 八島町46-1 高崎OPA,36.323151,139.011002,0
209,高崎駅ビル モントレー店,群馬県 高崎市 八島町222 高崎駅ビル モントレー 2F,36.321606,139.013107,0
210,高崎上中居店,群馬県 高崎市 上中居町1746,36.31897,139.030075,0
211,富岡店,群馬県 富岡市 富岡1894-7,36.263458,138.900574,0
212,イオンモール高崎 2階店,群馬県 高崎市 棟高町1400 イオンモール高崎,36.390381,139.006577,0
213,イオンモール高崎 1階店,群馬県 高崎市 棟高町1400,36.390381,139.006577,0
214,カインズホーム前橋吉岡店,群馬県 北群馬郡 吉岡町大久保821 カインズスーパーセンター前橋吉岡店,36.421471,139.024231,0
215,敷島公園店,群馬県 前橋市 敷島町77,36.4151,139.05072,0
216,けやきウォーク前橋店,群馬県 前橋市 文京町2-1-1 けやきウォーク前橋,36.380619,139.076813,0
217,前橋六供町店,群馬県 前橋市 六供町1352-7,36.369919,139.072021,0
218,前橋元総社店,群馬県 前橋市 元総社町2-3-10,36.392448,139.038559,0
219,伊勢崎今泉店,群馬県 伊勢崎市 今泉町2-338-2,36.310871,139.194687,0
220,ベイシア西部モール店,群馬県 伊勢崎市 宮子町3430-6,36.331673,139.158813,0
221,カインズ伊勢崎店,群馬県 伊勢崎市 宮子町3161-1,36.332767,139.158096,0
222,イオンモール太田店,群馬県 太田市 石原町81,36.294003,139.400223,0
223,太田小舞木店,群馬県 太田市 小舞木町328-1,36.284855,139.384872,0
224,太田西矢島店,群馬県 太田市 西矢島町718-1,36.27129,139.374283,0
